vx,vy,vz,sci_photons,xpos0,ypos0,photons0,xpos1,ypos1,photons1,xpos2,ypos2,photons2,xpos3,ypos3,photons3
3.2708,-12.8856,7.36251,11801,-30,-30,12,-30,30,5,30,-30,17,30,30,6
6.1821,-21.0443,3.30151,5968,-30,-30,13,-30,30,3,30,-30,13,30,30,3
-19.4742,4.8245,7.22307,171,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,30,30,1
26.9946,-11.8005,-0.204711,1068,-30,-30,1,-30,30,1,30,-30,2,30,30,1
-5.96073,-7.39869,9.80059,12959,-30,-30,19,-30,30,11,30,-30,9,30,30,14
-19.0266,2.89814,-2.76582,14679,-30,-30,14,-30,30,17,30,-30,4,30,30,6
-9.30974,-4.55042,3.55127,89,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
25.6494,5.70204,8.35168,57,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
23.5904,-22.026,-2.86992,8324,-30,-30,9,-30,30,5,30,-30,32,30,30,4
-3.00362,26.0566,-2.89852,20448,-30,-30,11,-30,30,26,30,-30,13,30,30,34
19.1874,18.446,1.78053,65,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-28.2118,-22.9474,-5.37538,12035,-30,-30,65,-30,30,7,30,-30,16,30,30,8
8.98554,-1.54684,3.42844,0,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
20.1462,-0.604914,-4.00682,407,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
2.91309,-27.2414,0.528934,81,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
21.3166,9.97903,5.5663,48,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
22.2843,-19.6531,3.1376,145965,-30,-30,116,-30,30,73,30,-30,418,30,30,105
-4.82002,7.75752,7.28303,107,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,30,30,1
19.1811,-22.1213,-7.50294,502,-30,-30,1,-30,30,2,30,-30,3,-99.9,-99.9,-1
-22.0115,-24.6392,6.1731,35051,-30,-30,126,-30,30,33,30,-30,32,30,30,15
26.0367,8.71692,-5.4095,110,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-9.17344,-25.7764,-5.3455,36,-30,-30,1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
21.7174,-11.9822,9.67568,4605,-30,-30,4,-30,30,3,30,-30,6,30,30,3
11.0342,22.1229,3.97366,167994,-30,-30,98,-30,30,154,30,-30,119,30,30,426
-17.6188,-18.0232,-0.28726,170,-99.9,-99.9,-1,-30,30,2,30,-30,1,-99.9,-99.9,-1
21.3554,-6.92265,-3.1335,116017,-30,-30,93,-30,30,64,30,-30,260,30,30,142
-19.7349,10.1578,1.14905,40,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
5.106,-17.1698,7.0915,14090,-30,-30,24,-30,30,6,30,-30,22,30,30,16
-15.1214,5.3678,8.03212,83,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-2.96575,-2.07807,5.7331,73086,-30,-30,101,-30,30,94,30,-30,63,30,30,56
25.8374,-21.0776,-8.00861,0,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
2.38881,14.5944,-1.79167,1118,-99.9,-99.9,-1,-30,30,1,30,-30,1,-99.9,-99.9,-1
20.4008,-15.0105,-4.77742,98,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,30,30,1
19.8281,-6.87056,5.75601,37363,-30,-30,30,-30,30,26,30,-30,85,30,30,48
20.3043,11.112,-6.83385,197792,-30,-30,126,-30,30,193,30,-30,173,30,30,484
-4.18329,-26.3774,7.11568,42626,-30,-30,70,-30,30,26,30,-30,41,30,30,21
-10.6216,22.7239,9.44529,2313,-30,-30,4,-30,30,5,30,-30,1,30,30,2
-16.2749,9.33936,1.35975,4595,-30,-30,6,-30,30,10,30,-30,4,30,30,3
27.629,29.8129,-0.451429,26836,-30,-30,10,-30,30,17,30,-30,23,30,30,215
10.1021,20.5936,-8.22897,68669,-30,-30,42,-30,30,56,30,-30,52,30,30,89
15.3358,2.7021,-5.49391,82,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
22.0535,29.8661,-6.2343,41,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-16.9125,14.5064,-8.08854,399379,-30,-30,281,-30,30,1483,30,-30,203,30,30,335
-13.8974,26.9469,-6.84243,110303,-30,-30,81,-30,30,320,30,-30,61,30,30,106
-16.6429,-16.5275,-4.668,77258,-30,-30,215,-30,30,54,30,-30,63,30,30,42
5.03547,-29.4798,5.75298,48,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
19.9716,-29.4897,6.07244,13885,-30,-30,10,-30,30,2,30,-30,28,30,30,8
-1.6501,-2.70234,-2.64454,171090,-30,-30,236,-30,30,187,30,-30,191,30,30,166
-25.2555,24.5782,3.88605,111,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
