vx,vy,vz,sci_photons,xpos0,ypos0,photons0,xpos1,ypos1,photons1,xpos2,ypos2,photons2,xpos3,ypos3,photons3
-2.90842,6.58731,24.5783,62,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
23.2289,-16.2568,25.5004,133475,-25,-25,58,-25,25,78,25,-25,124,25,25,85
-35.3374,6.59232,25.2752,50,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
30.344,-36.5851,-26.5331,528670,-25,-25,316,-25,25,190,25,-25,512,25,25,251
-29.5656,35.6689,-29.5305,72,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-33.8263,-11.9072,15.1833,117883,-25,-25,87,-25,25,70,25,-25,53,25,25,47
12.6416,-28.7043,-9.26737,36145,-25,-25,35,-25,25,19,25,-25,35,25,25,18
44.3318,-16.3733,3.14968,10199,-25,-25,5,-25,25,3,25,-25,11,25,25,8
-39.0288,-1.53564,16.2519,224995,-25,-25,145,-25,25,161,25,-25,116,25,25,115
11.5121,-30.5604,-0.500723,80,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
36.1459,-43.4261,-0.937144,19592,-25,-25,7,-25,25,11,25,-25,29,25,25,4
20.7831,-1.40622,27.339,68,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
9.98565,35.7357,-22.9128,5695,-25,-25,7,-25,25,3,25,-25,2,25,25,7
25.9897,16.0968,-16.3944,3245,-99.9,-99.9,-1,-25,25,3,-99.9,-99.9,-1,25,25,5
7.71042,44.6269,-4.40873,58,-99.9,-99.9,-1,-25,25,1,-99.9,-99.9,-1,-99.9,-99.9,-1
-6.0316,-5.87333,27.0422,3203,-25,-25,2,-99.9,-99.9,-1,25,-25,1,25,25,1
-19.4468,21.6279,-32.8098,454021,-25,-25,255,-25,25,555,25,-25,204,25,25,224
13.3005,42.8386,-5.96304,66,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-34.1345,-8.76648,17.2365,0,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-35.6838,9.89924,19.8836,58,-99.9,-99.9,-1,-99.9,-99.9,-1,25,-25,1,-99.9,-99.9,-1
37.9469,5.17327,25.3525,26404,-25,-25,11,-25,25,7,25,-25,9,25,25,17
12.9869,34.4482,21.7068,259,-99.9,-99.9,-1,-25,25,1,-99.9,-99.9,-1,25,25,1
1.46299,43.3421,-31.8434,516560,-25,-25,247,-25,25,551,25,-25,269,25,25,364
33.7441,26.0352,-19.6846,20027,-25,-25,7,-25,25,12,25,-25,20,25,25,22
3.0267,-15.2503,-21.474,574271,-25,-25,472,-25,25,294,25,-25,442,25,25,320
33.1117,-43.8239,-10.4301,90,-99.9,-99.9,-1,-99.9,-99.9,-1,25,-25,1,-99.9,-99.9,-1
-20.8042,-2.62641,-19.7981,77851,-25,-25,69,-25,25,70,25,-25,42,25,25,45
1.15064,-12.8235,-23.3335,1978,-25,-25,2,-25,25,3,25,-25,1,25,25,3
26.9026,32.3899,-16.0055,29451,-25,-25,12,-25,25,26,25,-25,22,25,25,28
38.7404,7.04752,-24.2702,5321,-25,-25,2,-25,25,3,-99.9,-99.9,-1,25,25,2
-1.02378,7.47226,29.5263,23,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-25.4914,-24.5885,25.5221,65,-25,-25,1,-99.9,-99.9,-1,25,-25,1,-99.9,-99.9,-1
-8.34023,24.671,-21.1773,216301,-25,-25,128,-25,25,191,25,-25,117,25,25,165
-32.3281,1.85563,-31.4121,16900,-25,-25,13,-25,25,10,25,-25,7,25,25,10
-2.33285,-30.4169,21.2185,16132,-25,-25,10,-25,25,12,25,-25,12,25,25,8
36.1698,-16.8001,14.2941,885,-25,-25,2,-99.9,-99.9,-1,25,-25,1,-99.9,-99.9,-1
-41.0053,-37.7713,-12.2223,277946,-25,-25,291,-25,25,141,25,-25,117,25,25,112
-21.7458,27.2941,-33.6906,4454,-25,-25,6,-25,25,3,25,-25,2,25,25,6
10.2752,35.349,26.0109,55606,-25,-25,23,-25,25,23,25,-25,29,25,25,39
-38.7915,-13.9617,11.3509,74695,-25,-25,70,-25,25,45,25,-25,45,25,25,30
41.9648,27.0821,-11.7524,523970,-25,-25,201,-25,25,213,25,-25,264,25,25,387
8.00233,24.6692,19.999,77,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
32.5219,-24.124,-9.88633,31427,-25,-25,13,-25,25,27,25,-25,51,25,25,21
18.0926,-21.8354,-9.05759,26303,-25,-25,17,-25,25,10,25,-25,37,25,25,15
-26.3841,-37.5369,15.556,7807,-25,-25,16,-25,25,1,25,-25,4,25,25,3
26.8368,-36.0294,30.4152,83,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-40.9499,11.8571,4.9676,104,-99.9,-99.9,-1,-99.9,-99.9,-1,25,-25,1,-99.9,-99.9,-1
17.7579,-13.8607,0.147927,223022,-25,-25,131,-25,25,121,25,-25,292,25,25,118
-38.9002,18.1756,27.1223,252,-99.9,-99.9,-1,-25,25,1,-99.9,-99.9,-1,-99.9,-99.9,-1
-21.2227,38.0797,22.1244,21068,-25,-25,10,-25,25,22,25,-25,4,25,25,20
25.1519,41.5086,-25.9812,483016,-25,-25,193,-25,25,266,25,-25,220,25,25,379
39.3513,8.95021,15.2281,41,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-16.3985,-31.0901,-13.1123,604,-99.9,-99.9,-1,-99.9,-99.9,-1,25,-25,1,-99.9,-99.9,-1
41.1157,-40.7883,-14.9934,0,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-5.83713,25.9138,3.28496,2376,-99.9,-99.9,-1,-25,25,5,25,-25,3,25,25,2
-41.0444,18.1557,-19.0353,521477,-25,-25,267,-25,25,423,25,-25,183,25,25,213
-38.0197,-19.4447,34.4934,1317,-25,-25,2,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
44.8617,-11.7789,-23.3802,427803,-25,-25,191,-25,25,206,25,-25,438,25,25,269
-15.5805,27.9139,28.5384,96,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,25,25,1
-40.4879,15.2897,-1.89661,66325,-25,-25,38,-25,25,98,25,-25,22,25,25,45
13.9599,-18.1051,-0.640517,308970,-25,-25,176,-25,25,137,25,-25,531,25,25,158
-26.165,-39.6937,14.0854,89,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-42.45,1.22538,2.35255,81,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
16.5062,13.5311,-34.3363,74,-99.9,-99.9,-1,-99.9,-99.9,-1,25,-25,2,-99.9,-99.9,-1
36.8371,10.5885,-1.71814,292,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,25,25,1
-5.73797,16.8925,16.6796,44138,-25,-25,18,-25,25,34,25,-25,29,25,25,32
1.38212,-19.5243,0.599917,219342,-25,-25,145,-25,25,121,25,-25,170,25,25,105
42.1985,34.3009,30.2226,80,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-38.6058,-10.7722,-25.0097,115660,-25,-25,108,-25,25,89,25,-25,72,25,25,55
-40.6281,-39.4921,-21.1485,96,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-23.0003,-23.8024,23.7132,5491,-25,-25,21,-25,25,4,25,-25,7,25,25,2
-7.99127,30.2957,-9.03901,52,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-22.6305,-32.125,24.0147,133870,-25,-25,276,-25,25,70,25,-25,63,25,25,57
-37.403,-10.8899,9.99507,25784,-25,-25,28,-25,25,15,25,-25,16,25,25,9
-4.69468,-18.6684,-26.1023,132993,-25,-25,112,-25,25,67,25,-25,74,25,25,48
-28.3345,-23.7227,-13.8399,69478,-25,-25,81,-25,25,48,25,-25,33,25,25,30
-15.2891,43.6363,18.2305,85,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
34.9925,37.0508,-0.297474,47987,-25,-25,25,-25,25,24,25,-25,20,25,25,65
39.7338,14.9823,-17.8587,73,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-41.722,-14.0079,7.02621,2855,-25,-25,3,-25,25,2,25,-25,2,25,25,2
7.19287,0.855814,17.0992,77,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-37.551,-21.076,-23.0061,14397,-25,-25,17,-25,25,7,25,-25,8,25,25,8
-35.7753,-33.5162,1.33461,50,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
1.29359,1.06392,25.1751,22,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-19.2639,29.7069,-18.9297,10142,-25,-25,1,-25,25,13,25,-25,3,25,25,4
-22.3742,40.8107,-33.7031,74,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-31.01,26.757,-24.951,0,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
10.4072,-43.5655,32.5418,10264,-25,-25,11,-25,25,7,25,-25,6,25,25,9
-6.05413,-43.4137,18.8687,68,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-1.75593,-23.5364,-17.7441,175578,-25,-25,171,-25,25,106,25,-25,161,25,25,95
7.61437,6.73813,-9.9448,61,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
12.9795,9.30103,-25.6304,15638,-25,-25,7,-25,25,13,25,-25,11,25,25,10
2.29999,-40.3439,-23.8532,105679,-25,-25,67,-25,25,39,25,-25,81,25,25,43
43.8242,-39.3204,-28.4666,56565,-25,-25,24,-25,25,22,25,-25,55,25,25,29
8.19932,-2.05786,-8.29969,0,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
1.23906,-29.4864,28.0001,81,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,25,25,1
-10.9752,42.5077,15.9693,85,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
8.75493,32.8068,20.4884,15091,-25,-25,7,-25,25,9,25,-25,6,25,25,16
17.3966,18.7952,-10.4478,417246,-25,-25,201,-25,25,225,25,-25,241,25,25,585
29.6613,4.05388,19.5102,11271,-25,-25,11,-25,25,9,25,-25,6,25,25,11
-7.16223,4.26437,23.2422,90,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
36.1092,1.257,18.0144,11883,-25,-25,2,-25,25,7,25,-25,10,25,25,9
14.0537,-27.8803,-12.3565,173620,-25,-25,116,-25,25,78,25,-25,194,25,25,93
30.3448,-3.65469,-3.66932,104,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-24.4237,30.6991,22.0506,4878,-25,-25,4,-25,25,1,25,-25,1,25,25,3
-13.507,-11.2649,-12.1646,228132,-25,-25,254,-25,25,159,25,-25,193,25,25,118
38.4012,8.39438,-15.1214,118,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
31.4634,24.6074,-26.8613,86,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
8.88615,-23.7905,23.1363,163094,-25,-25,92,-25,25,102,25,-25,114,25,25,103
20.7336,33.0602,18.6897,132940,-25,-25,48,-25,25,63,25,-25,64,25,25,170
30.4683,44.0632,13.5015,1102,-99.9,-99.9,-1,-99.9,-99.9,-1,25,-25,1,25,25,2
42.9473,15.7281,27.0511,48469,-25,-25,20,-25,25,24,25,-25,24,25,25,42
16.8883,-25.8162,9.58678,100,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
37.0234,-21.3739,14.7759,316898,-25,-25,151,-25,25,141,25,-25,977,25,25,189
33.6961,-7.91585,28.2796,7385,-25,-25,3,-25,25,4,25,-25,7,25,25,9
25.0384,-22.1852,34.7996,92,-99.9,-99.9,-1,-99.9,-99.9,-1,25,-25,1,-99.9,-99.9,-1
11.3019,9.5877,29.2937,34954,-25,-25,24,-25,25,17,25,-25,22,25,25,25
-16.3472,-5.82502,22.3528,19005,-25,-25,13,-25,25,7,25,-25,18,25,25,9
10.1615,15.561,-17.3774,432011,-25,-25,249,-25,25,291,25,-25,273,25,25,353
2.49377,-31.0691,3.81474,62119,-25,-25,50,-25,25,36,25,-25,49,25,25,23
-6.73007,9.02004,20.2102,94,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
44.6811,18.9559,11.646,60,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
28.1163,25.9797,-14.06,288876,-25,-25,126,-25,25,168,25,-25,149,25,25,668
12.7959,-20.2774,2.92804,50,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-9.13232,-26.809,34.06,18897,-25,-25,13,-25,25,6,25,-25,8,25,25,13
15.9362,33.0824,-20.9346,2521,-99.9,-99.9,-1,-25,25,1,25,-25,1,25,25,4
7.39507,-24.2458,-10.8124,10381,-25,-25,3,-25,25,4,25,-25,7,25,25,5
