vx,vy,vz,sci_photons,xpos0,ypos0,photons0,xpos1,ypos1,photons1,xpos2,ypos2,photons2,xpos3,ypos3,photons3
26.4892,25.618,7.37751,21933,-25,-25,17,-25,25,20,25,-25,18,25,25,477
-16.4074,-3.52274,-6.04916,33874,-25,-25,72,-25,25,51,25,-25,31,25,25,26
43.5938,19.3072,-7.37226,110,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
43.3928,9.85875,3.62443,183714,-25,-25,80,-25,25,85,25,-25,233,25,25,327
16.1503,-31.9163,5.02133,5467,-25,-25,3,-25,25,1,25,-25,5,25,25,1
-2.57789,-20.6788,-5.38421,84155,-25,-25,175,-25,25,55,25,-25,157,25,25,63
-34.6547,-14.7814,-7.66753,95019,-25,-25,351,-25,25,89,25,-25,78,25,25,47
9.52273,-14.1912,-4.64939,128938,-25,-25,193,-25,25,124,25,-25,276,25,25,128
-0.605744,-32.7417,1.35586,122021,-25,-25,220,-25,25,67,25,-25,191,25,25,67
20.8789,-0.0799361,4.67974,105,-99.9,-99.9,-1,-99.9,-99.9,-1,25,-25,1,-99.9,-99.9,-1
-35.0633,-34.8085,-9.97837,85,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-1.30287,-11.3186,-1.87555,81,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
42.2668,-38.2421,6.32416,299097,-25,-25,148,-25,25,115,25,-25,535,25,25,189
32.3253,33.0851,8.76705,5763,-25,-25,6,-25,25,6,25,-25,8,25,25,27
14.8239,-16.5533,-9.10582,67180,-25,-25,67,-25,25,47,25,-25,259,25,25,67
26.6479,-38.0361,2.8515,27711,-25,-25,26,-25,25,12,25,-25,79,25,25,16
-34.6707,15.0566,-7.91432,104,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
32.4183,8.56558,-8.66998,183231,-25,-25,109,-25,25,116,25,-25,234,25,25,630
-0.71075,27.4642,-0.255514,73620,-25,-25,54,-25,25,133,25,-25,45,25,25,157
13.6102,16.0347,7.16176,12172,-25,-25,6,-25,25,8,25,-25,11,25,25,21
-15.0377,22.8666,-9.00544,282432,-25,-25,191,-25,25,837,25,-25,144,25,25,294
23.1189,-10.1579,-3.22395,109,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-40.6172,18.8739,-3.43178,81,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
12.9741,-29.4561,-9.19966,10682,-25,-25,9,-25,25,10,25,-25,51,25,25,5
-11.0088,39.6836,5.92705,76100,-25,-25,37,-25,25,172,25,-25,42,25,25,80
-10.1096,-10.4159,7.4988,6055,-25,-25,10,-25,25,6,25,-25,11,25,25,10
4.10602,18.5226,9.38898,74,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
22.522,-22.6128,-8.60218,1634,-25,-25,1,-25,25,2,25,-25,9,25,25,4
40.5592,-21.6887,9.6997,207,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,25,25,1
-5.00497,12.243,7.1294,32,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
2.55929,39.5609,-1.22119,170236,-25,-25,88,-25,25,227,25,-25,96,25,25,299
-36.7304,25.8601,-7.25874,75691,-25,-25,54,-25,25,321,25,-25,30,25,25,41
29.9077,43.7118,7.15504,18613,-25,-25,9,-25,25,9,25,-25,11,25,25,39
44.3408,-31.1467,-0.373944,97501,-25,-25,59,-25,25,41,25,-25,220,25,25,75
17.6764,-8.87071,0.764661,14583,-25,-25,14,-25,25,10,25,-25,48,25,25,23
-33.5606,-23.1823,3.78581,70,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-8.94407,4.28025,9.31667,15105,-25,-25,22,-25,25,36,25,-25,12,25,25,19
22.1209,32.1154,-8.76741,57,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,25,25,1
-8.50342,-28.8856,6.67285,29430,-25,-25,82,-25,25,15,25,-25,27,25,25,22
11.7084,-35.9835,1.5111,26916,-25,-25,34,-25,25,8,25,-25,68,25,25,23
-18.9606,42.6406,0.0431099,68,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
41.4578,1.14195,1.85119,5066,-25,-25,4,-25,25,2,25,-25,12,25,25,6
33.4167,29.7526,-1.11792,790,-99.9,-99.9,-1,-25,25,1,-99.9,-99.9,-1,25,25,3
-19.9888,8.32691,5.85025,14222,-25,-25,17,-25,25,30,25,-25,5,25,25,11
27.5933,-9.34215,0.773534,94,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
34.2085,-28.2519,-9.16693,84,-25,-25,1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
16.1531,1.11156,-0.117807,104,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-7.49658,-39.9076,7.94582,0,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-26.705,-15.1989,9.42488,20238,-25,-25,61,-25,25,25,25,-25,12,25,25,14
1.62779,1.8737,4.71454,72945,-25,-25,90,-25,25,113,25,-25,95,25,25,105
33.3145,-18.1855,0.637271,21098,-25,-25,16,-25,25,11,25,-25,93,25,25,24
41.417,-36.9912,-5.45506,176982,-25,-25,97,-25,25,65,25,-25,473,25,25,122
33.8066,-11.8202,-5.64556,105833,-25,-25,66,-25,25,57,25,-25,249,25,25,138
-40.6574,14.9699,-7.17992,119490,-25,-25,129,-25,25,275,25,-25,48,25,25,86
-7.85391,36.8345,-0.149797,68,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-42.6941,15.4964,2.68611,28958,-25,-25,30,-25,25,55,25,-25,13,25,25,13
-39.8653,25.7966,0.445071,53,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-16.1565,22.437,9.67827,3526,-25,-25,4,-25,25,13,25,-25,1,25,25,3
7.00513,1.40781,2.59648,57196,-25,-25,69,-25,25,65,25,-25,83,25,25,98
17.45,-26.0526,-4.44139,42774,-25,-25,40,-25,25,27,25,-25,199,25,25,29
-37.7437,38.0965,-4.58056,7816,-25,-25,2,-25,25,34,25,-25,1,25,25,5
28.4566,0.183275,-1.43919,54806,-25,-25,46,-25,25,35,25,-25,108,25,25,108
-17.6277,32.6588,-6.39279,89,-99.9,-99.9,-1,-25,25,1,-99.9,-99.9,-1,25,25,1
-38.318,-9.03637,6.80813,16299,-25,-25,41,-25,25,23,25,-25,8,25,25,14
40.294,14.2645,-0.351724,15200,-25,-25,7,-25,25,10,25,-25,17,25,25,34
9.47901,40.1702,1.16218,125133,-25,-25,66,-25,25,196,25,-25,76,25,25,244
-33.0488,-25.6544,9.76079,1286,-25,-25,6,-25,25,1,25,-25,1,25,25,1
41.3707,-16.9054,-3.4987,4017,-25,-25,4,-25,25,4,25,-25,11,25,25,4
-10.2597,29.2535,8.67373,86270,-25,-25,55,-25,25,211,25,-25,48,25,25,113
13.4783,-2.32026,3.42844,0,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
30.2192,-0.907371,-4.00682,181,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
4.36963,-40.8621,0.528934,81,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
35.04,-25.1606,1.93415,1443,-25,-25,1,-25,25,2,25,-25,9,-99.9,-99.9,-1
-44.5424,-44.5496,-0.356007,1811,-25,-25,3,-99.9,-99.9,-1,25,-25,2,25,25,1
-3.79415,-1.26178,-9.13339,148636,-25,-25,237,-25,25,175,25,-25,218,25,25,171
43.5071,9.90226,1.34222,32314,-25,-25,13,-25,25,21,25,-25,41,25,25,51
-41.8565,24.6318,5.13539,24967,-25,-25,22,-25,25,67,25,-25,15,25,25,16
3.81205,34.5745,-5.381,153,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
27.9674,14.0331,-8.2484,16827,-25,-25,16,-25,25,12,25,-25,20,25,25,63
11.5585,38.8804,-5.72078,76830,-25,-25,46,-25,25,99,25,-25,53,25,25,171
7.29546,-0.697507,-1.59406,0,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-38.1459,-3.27045,-4.69632,0,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
23.4171,-22.6524,-1.12387,83,-99.9,-99.9,-1,-99.9,-99.9,-1,25,-25,2,-99.9,-99.9,-1
-34.8555,-7.39479,-9.85157,59,-99.9,-99.9,-1,-25,25,1,-99.9,-99.9,-1,25,25,1
15.415,39.5537,1.51821,56,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-2.09486,5.04546,4.87133,74,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
44.1626,27.3015,8.68016,17224,-25,-25,4,-25,25,7,25,-25,12,25,25,45
7.75451,-26.8934,-8.24112,79382,-25,-25,100,-25,25,55,25,-25,212,25,25,62
-32.2767,7.63895,6.79531,15055,-25,-25,26,-25,25,40,25,-25,7,25,25,11
19.279,24.037,8.31699,8860,-25,-25,1,-25,25,6,25,-25,8,25,25,49
-25.1427,38.8672,0.248352,147,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-43.1717,-35.8037,4.31494,95,-25,-25,1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-21.8541,38.7844,1.56891,53,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
24.1191,-3.32321,1.54348,105,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
6.09959,30.3484,-1.48012,177188,-25,-25,113,-25,25,264,25,-25,144,25,25,432
-41.944,-9.1768,7.96988,96,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-40.4592,-25.5009,-5.89279,43517,-25,-25,132,-25,25,41,25,-25,28,25,25,17
8.69147,-0.150084,-0.27042,207464,-25,-25,199,-25,25,210,25,-25,300,25,25,311
11.7257,-28.8555,-5.20698,0,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-34.7968,-5.86763,1.26546,59,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-18.0295,27.6285,-4.9454,32,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-43.0896,-23.7319,2.67813,35531,-25,-25,79,-25,25,25,25,-25,32,25,25,7
-41.6343,-30.8871,3.30082,65,-25,-25,1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
29.9138,15.0094,-4.80897,75989,-25,-25,45,-25,25,74,25,-25,77,25,25,280
-34.8285,34.8128,8.48285,4022,-25,-25,1,-25,25,9,-99.9,-99.9,-1,25,25,2
-7.13664,-20.7389,2.7307,96343,-25,-25,238,-25,25,94,25,-25,140,25,25,79
-27.4042,-31.6293,2.34702,38,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
42.1628,-10.3788,-4.12369,108,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
0.775462,-23.7162,5.55169,1303,-25,-25,1,-99.9,-99.9,-1,25,-25,4,-99.9,-99.9,-1
-29.1562,29.3517,-3.5203,73,-99.9,-99.9,-1,-25,25,1,-99.9,-99.9,-1,-99.9,-99.9,-1
36.8587,30.8101,5.54137,12095,-25,-25,5,-25,25,10,25,-25,9,25,25,37
17.5597,19.0374,-6.13637,57,-99.9,-99.9,-1,-25,25,1,-99.9,-99.9,-1,25,25,1
-28.1359,24.8078,9.3129,44,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
