vx,vy,vz,sci_photons,xpos0,ypos0,photons0,xpos1,ypos1,photons1,xpos2,ypos2,photons2,xpos3,ypos3,photons3,xpos4,ypos4,photons4,xpos5,ypos5,photons5,xpos6,ypos6,photons6,xpos7,ypos7,photons7,xpos8,ypos8,photons8,xpos9,ypos9,photons9,xpos10,ypos10,photons10,xpos11,ypos11,photons11,xpos12,ypos12,photons12,xpos13,ypos13,photons13,xpos14,ypos14,photons14,xpos15,ypos15,photons15
-25.6126,-10.5209,-14.3682,170,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-25,25,1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-74.4355,11.7689,-18.8119,249240,-75,-75,179,-75,-25,234,-75,25,363,-75,75,223,-25,-75,126,-25,-25,143,-25,25,183,-25,75,163,25,-75,101,25,-25,103,25,25,98,25,75,116,75,-75,84,75,-25,94,75,25,93,75,75,85
-3.31482,47.7941,-24.6434,35506,-75,-75,22,-75,-25,21,-75,25,15,-75,75,17,-25,-75,11,-25,-25,11,-25,25,35,-25,75,35,25,-75,19,25,-25,22,25,25,28,25,75,25,75,-75,11,75,-25,18,75,25,16,75,75,26
11.8256,-61.3389,-14.6278,162,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,25,75,1,-99.9,-99.9,-1,75,-25,1,-99.9,-99.9,-1,-99.9,-99.9,-1
45.9945,3.16239,-1.13201,357003,-75,-75,148,-75,-25,137,-75,25,169,-75,75,165,-25,-75,158,-25,-25,166,-25,25,157,-25,75,143,25,-75,206,25,-25,263,25,25,280,25,75,202,75,-75,226,75,-25,309,75,25,307,75,75,234
-43.6294,-34.5487,-1.33697,37,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
9.57937,82.3612,17.4988,67,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
40.1997,55.1913,11.6628,68630,-75,-75,23,-75,-25,27,-75,25,20,-75,75,27,-25,-75,25,-25,-25,26,-25,25,43,-25,75,44,25,-75,23,25,-25,36,25,25,58,25,75,53,75,-75,25,75,-25,44,75,25,65,75,75,78
-20.096,-61.3259,2.20847,12370,-75,-75,10,-75,-25,8,-75,25,5,-75,75,3,-25,-75,20,-25,-25,12,-25,25,2,-25,75,6,25,-75,12,25,-25,6,25,25,6,25,75,8,75,-75,5,75,-25,3,75,25,3,75,75,3
-16.2246,0.243882,7.56299,342585,-75,-75,183,-75,-25,237,-75,25,230,-75,75,203,-25,-75,192,-25,-25,225,-25,25,287,-25,75,210,25,-75,159,25,-25,194,25,25,236,25,75,176,75,-75,135,75,-25,164,75,25,158,75,75,169
