vx,vy,vz,sci_photons,xpos0,ypos0,photons0,xpos1,ypos1,photons1,xpos2,ypos2,photons2,xpos3,ypos3,photons3,xpos4,ypos4,photons4,xpos5,ypos5,photons5,xpos6,ypos6,photons6,xpos7,ypos7,photons7,xpos8,ypos8,photons8,xpos9,ypos9,photons9,xpos10,ypos10,photons10,xpos11,ypos11,photons11,xpos12,ypos12,photons12,xpos13,ypos13,photons13,xpos14,ypos14,photons14,xpos15,ypos15,photons15
-16.7862,31.8689,5.11493,21297,-75,-75,11,-75,-25,14,-75,25,15,-75,75,14,-25,-75,8,-25,-25,7,-25,25,45,-25,75,22,25,-75,19,25,-25,12,25,25,22,25,75,20,75,-75,5,75,-25,8,75,25,12,75,75,7
19.661,32.1142,-5.10697,169,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
40.4919,-17.7008,-0.0287272,611,-75,-75,1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-25,-75,1,-25,-25,1,-99.9,-99.9,-1,-25,75,1,25,-75,1,25,-25,2,25,25,1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,75,25,2,-99.9,-99.9,-1
-28.5399,4.34721,-2.63583,127,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-25,25,1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-4.18732,34.7479,-2.03311,278204,-75,-75,122,-75,-25,131,-75,25,201,-75,75,221,-25,-75,103,-25,-25,161,-25,25,452,-25,75,328,25,-75,126,25,-25,130,25,25,417,25,75,369,75,-75,130,75,-25,103,75,25,200,75,75,171
-0.353222,24.0476,-2.50062,91141,-75,-75,65,-75,-25,51,-75,25,46,-75,75,55,-25,-75,42,-25,-25,64,-25,25,180,-25,75,59,25,-75,43,25,-25,67,25,25,181,25,75,76,75,-75,49,75,-25,42,75,25,78,75,75,54
18.9957,-13.5012,5.31385,4087,-75,-75,3,-75,-25,3,-75,25,3,-75,75,1,-25,-75,3,-25,-25,5,-25,25,5,-25,75,3,25,-75,5,25,-25,7,25,25,5,25,75,3,75,-75,2,75,-25,4,75,25,7,75,75,1
20.296,-18.4538,-7.49861,21431,-75,-75,6,-75,-25,7,-75,25,9,-75,75,15,-25,-75,10,-25,-25,1,-25,25,11,-25,75,26,25,-75,5,25,-25,6,25,25,16,25,75,50,75,-75,11,75,-25,7,75,25,13,75,75,29
22.905,5.43012,-5.05229,113234,-75,-75,55,-75,-25,55,-75,25,56,-75,75,61,-25,-75,62,-25,-25,82,-25,25,88,-25,75,56,25,-75,63,25,-25,168,25,25,204,25,75,75,75,-75,67,75,-25,88,75,25,95,75,75,78
29.2764,20.0319,7.74711,9850,-75,-75,1,-75,-25,4,-75,25,7,-75,75,3,-25,-75,5,-25,-25,4,-25,25,5,-25,75,6,25,-75,4,25,-25,10,25,25,59,25,75,8,75,-75,10,75,-25,10,75,25,8,75,75,9
-19.8166,36.8682,-7.36972,92536,-75,-75,49,-75,-25,46,-75,25,69,-75,75,95,-25,-75,45,-25,-25,57,-25,25,263,-25,75,137,25,-75,46,25,-25,34,25,25,85,25,75,63,75,-75,49,75,-25,33,75,25,49,75,75,47
-43.7545,-3.96415,6.03902,28870,-75,-75,14,-75,-25,11,-75,25,21,-75,75,49,-25,-75,14,-25,-25,14,-25,25,15,-25,75,79,25,-75,10,25,-25,7,25,25,7,25,75,21,75,-75,11,75,-25,1,75,25,14,75,75,9
33.5663,-35.5312,-9.14953,200885,-75,-75,104,-75,-25,79,-75,25,60,-75,75,67,-25,-75,133,-25,-25,115,-25,25,87,-25,75,73,25,-75,318,25,-25,460,25,25,114,25,75,88,75,-75,255,75,-25,262,75,25,119,75,75,120
