vx,vy,vz,sci_photons,xpos0,ypos0,photons0,xpos1,ypos1,photons1,xpos2,ypos2,photons2,xpos3,ypos3,photons3,xpos4,ypos4,photons4,xpos5,ypos5,photons5,xpos6,ypos6,photons6,xpos7,ypos7,photons7,xpos8,ypos8,photons8,xpos9,ypos9,photons9,xpos10,ypos10,photons10,xpos11,ypos11,photons11,xpos12,ypos12,photons12,xpos13,ypos13,photons13,xpos14,ypos14,photons14,xpos15,ypos15,photons15
-67.421,-57.9713,0.314455,63,-99.9,-99.9,-1,-75,-25,1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,25,25,1,-99.9,-99.9,-1,75,-75,1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-39.3805,-39.1957,0.566651,305,-99.9,-99.9,-1,-75,-25,1,-75,25,2,-75,75,1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,25,-75,1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,75,-75,1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-62.3114,-9.18143,-2.38954,162748,-75,-75,305,-75,-25,643,-75,25,407,-75,75,243,-25,-75,218,-25,-25,335,-25,25,302,-25,75,251,25,-75,194,25,-25,179,25,25,205,25,75,216,75,-75,191,75,-25,176,75,25,173,75,75,169
93.6433,64.6935,6.50793,64,-99.9,-99.9,-1,-75,-25,1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-25,25,1,-99.9,-99.9,-1,-99.9,-99.9,-1,25,-25,1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-35.7979,94.3725,1.43805,25595,-75,-75,48,-75,-25,84,-75,25,98,-75,75,56,-25,-75,37,-25,-25,46,-25,25,60,-25,75,20,25,-75,28,25,-25,19,25,25,27,25,75,39,75,-75,36,75,-25,46,75,25,30,75,75,23
83.0445,-26.5635,-0.00976556,55,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-25,-75,1,-25,-25,1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
53.8157,-36.7334,7.98908,2297,-75,-75,4,-75,-25,2,-75,25,3,-99.9,-99.9,-1,-25,-75,2,-25,-25,1,-99.9,-99.9,-1,-25,75,4,25,-75,9,25,-25,8,25,25,2,25,75,3,75,-75,5,75,-25,6,75,25,4,75,75,3
42.6526,79.2407,7.95233,89718,-75,-75,101,-75,-25,103,-75,25,119,-75,75,131,-25,-75,107,-25,-25,116,-25,25,121,-25,75,146,25,-75,103,25,-25,127,25,25,158,25,75,292,75,-75,109,75,-25,107,75,25,178,75,75,307
-54.2376,-17.4127,-2.38241,66681,-75,-75,130,-75,-25,204,-75,25,130,-75,75,91,-25,-75,116,-25,-25,174,-25,25,98,-25,75,90,25,-75,97,25,-25,85,25,25,90,25,75,68,75,-75,71,75,-25,76,75,25,75,75,75,80
85.3068,32.5456,3.45634,46,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,25,-75,1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
