vx,vy,vz,sci_photons,xpos0,ypos0,photons0,xpos1,ypos1,photons1,xpos2,ypos2,photons2,xpos3,ypos3,photons3,xpos4,ypos4,photons4,xpos5,ypos5,photons5,xpos6,ypos6,photons6,xpos7,ypos7,photons7,xpos8,ypos8,photons8,xpos9,ypos9,photons9,xpos10,ypos10,photons10,xpos11,ypos11,photons11,xpos12,ypos12,photons12,xpos13,ypos13,photons13,xpos14,ypos14,photons14,xpos15,ypos15,photons15
42.6464,9.39584,-21.6126,12476,-75,-75,11,-75,-25,3,-75,25,5,-75,75,3,-25,-75,4,-25,-25,8,-25,25,8,-25,75,9,25,-75,9,25,-25,14,25,25,14,25,75,5,75,-75,3,75,-25,17,75,25,13,75,75,13
-42.568,5.71458,23.0124,0,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
9.36132,-40.5215,-6.9402,97,-99.9,-99.9,-1,-75,-25,1,-75,25,1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,75,-25,1,-99.9,-99.9,-1,-99.9,-99.9,-1
9.59914,30.2449,2.25468,301541,-75,-75,121,-75,-25,122,-75,25,138,-75,75,164,-25,-75,115,-25,-25,155,-25,25,217,-25,75,252,25,-75,135,25,-25,199,25,25,340,25,75,304,75,-75,132,75,-25,150,75,25,225,75,75,205
44.9565,31.9897,5.75046,25699,-75,-75,7,-75,-25,11,-75,25,10,-75,75,13,-25,-75,9,-25,-25,6,-25,25,11,-25,75,12,25,-75,15,25,-25,20,25,25,33,25,75,28,75,-75,8,75,-25,24,75,25,15,75,75,18
-34.938,-42.6255,12.9072,103039,-75,-75,98,-75,-25,89,-75,25,77,-75,75,54,-25,-75,91,-25,-25,84,-25,25,47,-25,75,36,25,-75,62,25,-25,64,25,25,48,25,75,36,75,-75,52,75,-25,63,75,25,32,75,75,40
-30.253,-22.6378,2.50718,144350,-75,-75,65,-75,-25,65,-75,25,138,-75,75,303,-25,-75,55,-25,-25,156,-25,25,87,-25,75,137,25,-75,62,25,-25,57,25,25,65,25,75,71,75,-75,51,75,-25,48,75,25,51,75,75,59
42.3411,27.391,3.44837,5539,-99.9,-99.9,-1,-75,-25,1,-75,25,2,-75,75,1,-25,-75,3,-25,-25,4,-25,25,3,-25,75,4,25,-75,4,25,-25,3,25,25,5,25,75,6,75,-75,5,75,-25,7,75,25,8,75,75,5
-10.0164,31.0581,5.50262,112,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-25,75,1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,75,25,1,-99.9,-99.9,-1
-17.0992,-23.6686,16.2443,49,-99.9,-99.9,-1,-75,-25,1,-99.9,-99.9,-1,-75,75,1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
1.19483,23.089,23.7179,75477,-75,-75,31,-75,-25,40,-75,25,44,-75,75,41,-25,-75,28,-25,-25,45,-25,25,58,-25,75,55,25,-75,41,25,-25,47,25,25,50,25,75,53,75,-75,29,75,-25,35,75,25,44,75,75,55
-19.3695,32.9909,-6.45292,7435,-75,-75,1,-75,-25,9,-75,25,1,-75,75,4,-25,-75,2,-25,-25,4,-25,25,17,-25,75,6,25,-75,5,25,-25,1,25,25,7,25,75,6,75,-75,2,75,-25,5,75,25,3,75,75,4
