vx,vy,vz,sci_photons,xpos0,ypos0,photons0,xpos1,ypos1,photons1,xpos2,ypos2,photons2,xpos3,ypos3,photons3
-6.11421,-23.8882,2.41573,49,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-3.64337,-21.6598,9.32061,116,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-20.5074,-44.3956,-8.46726,403657,-25,-25,442,-25,25,193,25,-25,287,25,25,183
-12.6951,11.8511,-20.7406,357633,-25,-25,289,-25,25,627,25,-25,204,25,25,273
16.3514,-25.7016,-21.2717,3272,-25,-25,3,-25,25,3,25,-25,8,25,25,2
-39.2781,-10.8462,13.5912,18395,-25,-25,26,-25,25,15,25,-25,7,25,25,4
30.9498,0.721484,11.546,142293,-25,-25,85,-25,25,96,25,-25,124,25,25,145
-17.5667,27.3613,0.628366,68,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
34.1548,31.8454,22.8833,85,-99.9,-99.9,-1,-99.9,-99.9,-1,25,-25,1,-99.9,-99.9,-1
41.0545,-42.906,4.89832,183318,-25,-25,100,-25,25,73,25,-25,210,25,25,103
-26.4566,-30.0033,8.03137,2090,-25,-25,3,-99.9,-99.9,-1,25,-25,1,25,25,3
24.885,1.56144,10.2413,98679,-25,-25,51,-25,25,60,25,-25,87,25,25,90
-34.2182,10.1468,-22.631,61,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
2.53612,-27.5722,8.42183,113125,-25,-25,112,-25,25,65,25,-25,92,25,25,75
-19.5843,21.6196,-5.1367,4402,-25,-25,4,-25,25,8,25,-25,1,25,25,2
-17.9343,31.7307,-24.1206,279265,-25,-25,158,-25,25,938,25,-25,127,25,25,195
-26.7993,-5.45307,-15.8176,208554,-25,-25,227,-25,25,197,25,-25,107,25,25,119
14.1946,23.7413,-8.18785,2956,-25,-25,6,-25,25,3,25,-25,1,25,25,3
43.8015,36.9038,0.744486,24181,-25,-25,7,-25,25,24,25,-25,22,25,25,29
40.1457,-8.50828,-5.50888,44916,-25,-25,28,-25,25,13,25,-25,66,25,25,36
-20.9934,22.998,14.7268,9473,-25,-25,6,-25,25,57,25,-25,4,25,25,12
12.6992,3.13871,-19.1596,78023,-25,-25,74,-25,25,53,25,-25,90,25,25,90
40.9107,-19.5573,-8.61726,15,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
12.5245,35.0386,6.02023,56,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-0.109402,-17.7507,-10.4445,8092,-25,-25,10,-25,25,6,25,-25,9,25,25,7
7.26998,20.7259,7.65107,774,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,25,25,2
8.95593,26.979,5.33954,70,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,25,25,1
21.0944,-20.7743,6.47331,40186,-25,-25,18,-25,25,21,25,-25,74,25,25,17
-42.9275,2.5622,-17.0961,34168,-25,-25,34,-25,25,34,25,-25,19,25,25,15
-30.4326,-20.0819,9.94199,0,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-41.3817,-24.191,-14.9935,73,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
4.93489,-14.7484,-9.28158,52,-99.9,-99.9,-1,-99.9,-99.9,-1,25,-25,1,-99.9,-99.9,-1
16.3115,-7.60709,-8.07255,0,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-34.2301,-17.745,6.68276,351892,-25,-25,863,-25,25,238,25,-25,220,25,25,164
24.4934,41.4023,12.2534,8587,-25,-25,4,-25,25,5,25,-25,3,25,25,9
-31.9838,10.3894,-2.39413,8569,-25,-25,7,-25,25,14,25,-25,1,25,25,3
16.0277,-41.9325,-22.1197,12724,-25,-25,7,-25,25,3,25,-25,14,25,25,7
8.74949,21.62,-17.3327,0,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
21.0516,44.7877,-1.91406,103,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
8.41939,14.8846,17.4736,12317,-25,-25,8,-25,25,10,25,-25,7,25,25,7
-3.01909,-9.59814,8.16365,0,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-3.09681,0.595712,-14.1203,341308,-25,-25,262,-25,25,448,25,-25,262,25,25,276
-39.0846,-5.96497,-14.0235,96,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
