vx,vy,vz,sci_photons,xpos0,ypos0,photons0,xpos1,ypos1,photons1,xpos2,ypos2,photons2,xpos3,ypos3,photons3,xpos4,ypos4,photons4,xpos5,ypos5,photons5,xpos6,ypos6,photons6,xpos7,ypos7,photons7,xpos8,ypos8,photons8,xpos9,ypos9,photons9,xpos10,ypos10,photons10,xpos11,ypos11,photons11,xpos12,ypos12,photons12,xpos13,ypos13,photons13,xpos14,ypos14,photons14,xpos15,ypos15,photons15
3.66424,-2.89175,-5.73141,49821,-75,-75,20,-75,-25,18,-75,25,31,-75,75,24,-25,-75,23,-25,-25,29,-25,25,32,-25,75,22,25,-75,29,25,-25,44,25,25,37,25,75,28,75,-75,20,75,-25,26,75,25,27,75,75,29
-19.5289,-33.0968,-21.7383,21933,-75,-75,19,-75,-25,17,-75,25,7,-75,75,8,-25,-75,12,-25,-25,20,-25,25,11,-25,75,7,25,-75,11,25,-25,16,25,25,10,25,75,13,75,-75,14,75,-25,10,75,25,8,75,75,5
6.9903,-23.5427,-1.76587,135515,-75,-75,80,-75,-25,77,-75,25,56,-75,75,57,-25,-75,80,-25,-25,106,-25,25,76,-25,75,76,25,-75,86,25,-25,158,25,25,76,25,75,70,75,-75,91,75,-25,92,75,25,73,75,75,50
-15.2206,41.1861,-5.39735,168183,-75,-75,72,-75,-25,75,-75,25,112,-75,75,129,-25,-75,59,-25,-25,106,-25,25,195,-25,75,152,25,-75,65,25,-25,80,25,25,94,25,75,149,75,-75,56,75,-25,81,75,25,69,75,75,93
6.62255,-3.42471,-16.9578,74,-75,-75,1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,25,-75,1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
32.7078,-34.8635,-13.099,87,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-25,-25,1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-11.7406,-1.68792,-15.1091,1481,-75,-75,1,-75,-25,2,-99.9,-99.9,-1,-75,75,2,-99.9,-99.9,-1,-25,-25,1,-25,25,3,-25,75,2,25,-75,1,25,-25,1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,75,25,1,-99.9,-99.9,-1
-29.2394,-19.0647,-6.76857,292117,-75,-75,205,-75,-25,196,-75,25,159,-75,75,157,-25,-75,217,-25,-25,640,-25,25,192,-25,75,148,25,-75,195,25,-25,178,25,25,153,25,75,124,75,-75,153,75,-25,139,75,25,134,75,75,127
12.7787,44.1723,24.8743,90,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,25,25,1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
30.6394,-18.1731,-2.56881,22896,-75,-75,13,-75,-25,10,-75,25,5,-75,75,8,-25,-75,8,-25,-25,14,-25,25,8,-25,75,7,25,-75,10,25,-25,36,25,25,13,25,75,10,75,-75,18,75,-25,14,75,25,16,75,75,12
