vx,vy,vz,sci_photons,xpos0,ypos0,photons0,xpos1,ypos1,photons1,xpos2,ypos2,photons2,xpos3,ypos3,photons3
10.6804,-7.4118,9.95744,20372,-15,-15,26,-15,15,25,15,-15,74,15,15,50
1.05364,-1.78489,6.0519,30,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
10.5922,-7.71929,-6.92783,725,-15,-15,2,-15,15,1,15,-15,6,-99.9,-99.9,-1
-0.153166,-0.0548624,4.62569,72,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
9.99172,-7.50186,3.34661,11481,-15,-15,19,-15,15,20,15,-15,51,15,15,18
3.61739,-2.3545,7.09424,59,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
7.96676,-0.897407,2.74613,48296,-15,-15,86,-15,15,92,15,-15,100,15,15,143
-6.82624,-2.96314,-7.09052,12404,-15,-15,60,-15,15,36,15,-15,15,15,15,20
-1.75156,14.3838,1.27012,82938,-15,-15,117,-15,15,255,15,-15,95,15,15,193
-3.79514,-13.0804,9.06799,69,-15,-15,1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
12.7538,-0.602912,6.53665,106,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
5.70743,7.73503,8.11961,66,-99.9,-99.9,-1,-99.9,-99.9,-1,15,-15,1,-99.9,-99.9,-1
-0.830064,2.99039,0.110211,52,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-13.6937,-12.9723,-2.04842,246729,-15,-15,1780,-15,15,307,15,-15,315,15,15,181
0.0618,3.53913,-9.00419,125292,-15,-15,211,-15,15,350,15,-15,178,15,15,277
14.1561,-8.24956,1.63995,43126,-15,-15,69,-15,15,61,15,-15,232,15,15,64
2.82005,-10.2367,-1.66447,196492,-15,-15,376,-15,15,352,15,-15,480,15,15,431
8.08136,0.807377,8.57726,1695,-15,-15,1,-15,15,3,15,-15,4,15,15,3
-5.58594,10.5089,5.90497,53,-99.9,-99.9,-1,-15,15,1,-99.9,-99.9,-1,-99.9,-99.9,-1
-14.3584,5.36238,-0.187587,119060,-15,-15,243,-15,15,534,15,-15,138,15,15,158
-4.19098,-9.04897,-9.70275,72,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-11.8958,-2.10519,9.59955,1821,-15,-15,9,-15,15,8,15,-15,3,15,15,2
-9.57897,13.8921,3.20927,78017,-15,-15,109,-15,15,651,15,-15,75,15,15,133
-2.09336,7.16179,-8.63835,60293,-15,-15,98,-15,15,216,15,-15,72,15,15,154
-8.69985,-9.85185,1.10714,211969,-15,-15,1492,-15,15,309,15,-15,394,15,15,212
14.4359,12.8465,-1.48428,13762,-15,-15,16,-15,15,17,15,-15,21,15,15,99
-5.28721,5.27151,-3.13856,73,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,15,15,1
-6.87552,-13.4783,-7.56086,189229,-15,-15,1199,-15,15,274,15,-15,215,15,15,155
4.8575,-3.46533,-6.79002,186934,-15,-15,320,-15,15,294,15,-15,671,15,15,405
4.76271,-3.08173,-4.43369,60180,-15,-15,115,-15,15,100,15,-15,163,15,15,118
2.19844,5.99364,0.80238,70,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-5.47846,-0.0783507,-6.35589,77228,-15,-15,169,-15,15,180,15,-15,129,15,15,131
8.84064,8.1008,-0.797156,13732,-15,-15,21,-15,15,28,15,-15,26,15,15,66
-13.785,0.298914,-4.78961,815,-15,-15,3,-15,15,4,15,-15,2,15,15,1
-7.12854,9.58375,6.54824,34,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
8.48365,-5.83303,0.092909,89,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
8.48939,2.38218,-6.17275,84360,-15,-15,145,-15,15,145,15,-15,187,15,15,226
-3.63008,-4.77945,5.01215,47,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
13.395,10.1963,2.84266,49,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-6.70409,14.72,-1.91612,96,-15,-15,1,-99.9,-99.9,-1,-99.9,-99.9,-1,15,15,1
12.4546,-2.90031,0.403676,34527,-15,-15,45,-15,15,35,15,-15,112,15,15,94
5.07655,10.4718,5.42291,27138,-15,-15,27,-15,15,59,15,-15,44,15,15,72
11.5954,0.201139,0.560933,150572,-15,-15,170,-15,15,195,15,-15,373,15,15,402
-12.4485,9.06295,9.2352,429,-99.9,-99.9,-1,-15,15,1,15,-15,1,-99.9,-99.9,-1
-4.95079,10.263,-6.31237,111935,-15,-15,185,-15,15,377,15,-15,143,15,15,247
-4.25389,-0.682373,1.64139,5238,-15,-15,17,-15,15,10,15,-15,31,15,15,10
-14.3821,-14.2905,-7.51565,1773,-15,-15,12,-99.9,-99.9,-1,15,-15,2,-99.9,-99.9,-1
12.0161,-2.36632,8.70175,66942,-15,-15,110,-15,15,101,15,-15,179,15,15,146
10.2652,2.21376,1.37208,36958,-15,-15,57,-15,15,66,15,-15,85,15,15,91
1.53949,3.99023,-6.3547,330382,-15,-15,370,-15,15,848,15,-15,365,15,15,944
8.56583,13.1987,-5.35645,54,-99.9,-99.9,-1,-15,15,1,-99.9,-99.9,-1,-99.9,-99.9,-1
0.264503,9.4078,-0.689597,262021,-15,-15,454,-15,15,862,15,-15,378,15,15,463
-1.38831,7.44545,-2.1603,78,-99.9,-99.9,-1,-15,15,1,-99.9,-99.9,-1,-99.9,-99.9,-1
6.20631,14.734,2.55193,49867,-15,-15,67,-15,15,86,15,-15,68,15,15,213
13.0869,13.3562,9.8544,0,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
3.8417,-9.00357,-2.1202,136,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-10.7407,-13.3849,-9.75849,348,-15,-15,2,-99.9,-99.9,-1,15,-15,1,-99.9,-99.9,-1
9.83662,-13.9268,1.21374,39,-99.9,-99.9,-1,-99.9,-99.9,-1,15,-15,1,-99.9,-99.9,-1
-12.717,-7.07312,-8.68671,445,-15,-15,1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-12.4259,11.3212,-0.707758,52,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
7.91869,-12.5487,-8.80312,70,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
