vx,vy,vz,sci_photons,xpos0,ypos0,photons0,xpos1,ypos1,photons1,xpos2,ypos2,photons2,xpos3,ypos3,photons3
13.6321,-11.6585,-3.62911,0,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
13.2322,10.919,4.62781,77,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,20,20,1
-4.56276,-4.4637,6.57411,170,-99.9,-99.9,-1,-20,20,1,-99.9,-99.9,-1,-99.9,-99.9,-1
6.33057,-4.10899,-5.66328,22822,-20,-20,31,-20,20,26,20,-20,47,20,20,34
-15.8518,13.9161,1.05466,7399,-20,-20,7,-20,20,28,20,-20,9,20,20,3
3.42844,-16.0221,5.83889,362,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
16.4469,15.7595,7.2493,28246,-20,-20,21,-20,20,34,20,-20,40,20,20,185
-17.6591,10.6885,4.65725,34,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-8.22975,-3.33158,0.0414026,67192,-20,-20,150,-20,20,114,20,-20,84,20,20,74
-10.5714,-1.60927,-6.92353,20888,-20,-20,40,-20,20,39,20,-20,24,20,20,27
2.83451,-9.19139,-0.627113,45,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
15.9703,19.0966,0.394815,488,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,20,20,4
9.7875,9.12846,-1.4244,154007,-20,-20,154,-20,20,241,20,-20,184,20,20,441
12.0107,15.2427,-5.27882,81298,-20,-20,54,-20,20,108,20,-20,102,20,20,372
10.7296,-4.63177,-2.13646,56,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-10.7046,17.0703,-0.42236,8051,-20,-20,5,-20,20,19,20,-20,6,20,20,3
2.51845,7.91656,0.966618,1291,-20,-20,5,-20,20,4,20,-20,2,20,20,1
15.5505,-4.78307,7.89137,73,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
1.8259,12.9543,1.04901,31481,-20,-20,25,-20,20,45,20,-20,43,20,20,74
16.0918,-4.04175,-6.54043,43433,-20,-20,47,-20,20,44,20,-20,138,20,20,61
13.5241,-14.2686,2.01423,40849,-20,-20,55,-20,20,37,20,-20,161,20,20,52
8.01557,-2.30061,-1.65127,0,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
14.5383,-5.98162,8.99509,34597,-20,-20,34,-20,20,35,20,-20,91,20,20,65
6.14436,-4.99151,-5.82878,55,-20,-20,1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
12.9844,-9.52686,9.49138,59,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
18.7912,2.148,1.54927,80391,-20,-20,68,-20,20,72,20,-20,174,20,20,194
7.32261,1.99379,-9.13339,0,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-11.6638,17.5674,6.85225,75807,-20,-20,78,-20,20,454,20,-20,51,20,20,86
16.5713,-17.1412,-3.6593,74941,-20,-20,91,-20,20,58,20,-20,438,20,20,87
7.41133,16.7278,5.11277,8680,-20,-20,4,-20,20,14,20,-20,12,20,20,23
-15.1249,0.473947,4.76256,0,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-8.63389,9.51214,-4.6441,13616,-20,-20,20,-20,20,58,20,-20,19,20,20,19
15.2905,2.18192,-2.03997,0,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-14.946,11.5641,-9.51054,1593,-99.9,-99.9,-1,-20,20,9,-99.9,-99.9,-1,20,20,1
-7.65868,-18.746,6.89715,1671,-20,-20,1,-20,20,3,20,-20,3,20,20,1
10.372,-9.74857,7.53192,61,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,20,20,1
11.5137,-0.790261,5.29455,64,-99.9,-99.9,-1,-99.9,-99.9,-1,20,-20,1,-99.9,-99.9,-1
10.7146,17.1194,-3.50562,319,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,20,20,2
0.415467,7.94968,-8.90075,0,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
1.00044,11.7453,6.9159,61597,-20,-20,74,-20,20,126,20,-20,73,20,20,124
15.2543,2.87283,-3.71693,67814,-20,-20,71,-20,20,65,20,-20,155,20,20,185
16.8735,-6.62387,4.28899,84,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
7.70049,-3.52608,-2.26864,6117,-20,-20,1,-20,20,4,20,-20,3,20,20,2
4.62085,-2.0357,7.10673,70,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,20,20,1
-15.5681,-0.532237,-8.9575,8473,-20,-20,25,-20,20,21,20,-20,9,20,20,6
15.1922,8.64047,-7.60991,11763,-20,-20,8,-20,20,4,20,-20,4,20,20,10
5.17925,-13.7398,-4.81346,37,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
15.817,7.71874,4.44398,82,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
11.0025,-10.7769,2.63109,29,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
4.84603,-12.8613,9.92307,318,-99.9,-99.9,-1,-99.9,-99.9,-1,20,-20,1,-99.9,-99.9,-1
14.5018,17.1777,-0.434918,0,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
5.39028,0.492591,-5.39266,377405,-20,-20,641,-20,20,731,20,-20,560,20,20,584
-18.6849,-16.5395,4.9506,78,-20,-20,3,-99.9,-99.9,-1,20,-20,1,-99.9,-99.9,-1
-9.02568,16.1577,9.43957,46375,-20,-20,61,-20,20,134,20,-20,46,20,20,67
17.0996,3.80136,8.35168,57,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
4.31268,11.9528,-5.55961,248907,-20,-20,288,-20,20,610,20,-20,286,20,20,451
-10.6108,16.8893,0.881927,44,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
14.8064,-8.08244,0.637271,20609,-20,-20,23,-20,20,10,20,-20,85,20,20,24
9.03687,-1.51278,1.34975,44058,-20,-20,55,-20,20,54,20,-20,87,20,20,75
11.0592,10.7315,-3.37442,1281,-99.9,-99.9,-1,-20,20,2,20,-20,4,20,20,4
9.45224,-17.5067,-4.28172,62821,-20,-20,82,-20,20,52,20,-20,251,20,20,69
6.16696,16.0694,2.64114,372,-99.9,-99.9,-1,-20,20,2,-99.9,-99.9,-1,-99.9,-99.9,-1
-14.6862,10.0321,4.45648,4571,-20,-20,11,-20,20,16,20,-20,3,20,20,5
8.96232,-6.40628,-8.91911,90,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-13.1427,-3.46825,9.18077,15755,-20,-20,33,-20,20,29,20,-20,14,20,20,12
8.28092,14.7119,-8.69414,253405,-20,-20,249,-20,20,161,20,-20,900,20,20,347
-10.1645,13.5024,-4.77012,1532,-20,-20,2,-20,20,2,20,-20,1,20,20,1
18.6298,7.08981,-3.84311,0,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
