vx,vy,vz,sci_photons,xpos0,ypos0,photons0,xpos1,ypos1,photons1,xpos2,ypos2,photons2,xpos3,ypos3,photons3
11.6179,22.6623,-4.97039,360,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-22.7411,24.1134,-2.79145,107187,-25,-25,105,-25,25,785,25,-25,57,25,25,85
-4.11834,-12.424,-1.29935,48,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-5.50969,-9.06058,7.15621,19667,-25,-25,25,-25,25,18,25,-25,24,25,25,16
16.0979,-5.26146,7.95646,51,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-16.7779,5.92707,-1.93411,31706,-25,-25,40,-25,25,64,25,-25,26,25,25,22
-3.3534,-20.9597,-0.552056,126104,-25,-25,267,-25,25,104,25,-25,206,25,25,115
0.687185,3.01049,-4.89196,122,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,25,25,1
-14.5584,-14.0147,5.5907,180898,-25,-25,441,-25,25,209,25,-25,177,25,25,159
16.3454,1.93792,4.62948,72032,-25,-25,60,-25,25,60,25,-25,113,25,25,139
2.68804,16.6428,-7.81354,136781,-25,-25,101,-25,25,170,25,-25,131,25,25,308
7.69486,19.913,-9.16199,119238,-25,-25,92,-25,25,165,25,-25,97,25,25,263
-2.13088,-21.9472,-0.171319,90407,-25,-25,233,-25,25,73,25,-25,131,25,25,59
-9.66146,6.68875,-8.90758,72,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
18.4829,-0.816604,3.54406,71,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-21.6385,2.66089,-2.75513,109632,-25,-25,159,-25,25,274,25,-25,78,25,25,94
-2.90343,-7.13157,-9.6612,10907,-25,-25,19,-25,25,17,25,-25,20,25,25,11
-8.39617,6.90377,7.18588,141,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-10.9886,-1.18841,-9.75388,48969,-25,-25,77,-25,25,66,25,-25,54,25,25,59
-13.5978,2.78676,4.3089,147862,-25,-25,267,-25,25,262,25,-25,119,25,25,98
0.103,5.89855,-9.00419,128186,-25,-25,140,-25,25,236,25,-25,111,25,25,183
23.5935,-13.7493,1.63995,47329,-25,-25,46,-25,25,30,25,-25,152,25,25,61
21.813,-24.0645,1.04468,25504,-25,-25,25,-25,25,10,25,-25,205,25,25,21
-1.19064,7.73146,-9.92653,6761,-25,-25,6,-25,25,7,25,-25,7,25,25,11
-9.30453,9.63299,-3.64745,58271,-25,-25,77,-25,25,136,25,-25,47,25,25,65
-10.731,21.1187,1.23891,78,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-13.4707,15.1371,-8.93406,30,-99.9,-99.9,-1,-25,25,1,-99.9,-99.9,-1,-99.9,-99.9,-1
24.3079,0.120273,-4.38602,4792,-25,-25,3,-25,25,4,25,-25,11,25,25,9
-1.96756,-21.1459,4.85096,42,-25,-25,1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
4.25673,-12.1442,-7.14291,166093,-25,-25,254,-25,25,161,25,-25,263,25,25,179
-0.431484,3.64125,6.02203,1858,-25,-25,6,-25,25,3,25,-25,2,25,25,2
-14.3369,-5.57648,7.01572,38,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-4.05078,-20.965,9.44515,57,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-8.71648,-15.6829,-7.55288,233070,-25,-25,615,-25,25,204,25,-25,338,25,25,175
-18.0943,-1.72494,-1.73862,5064,-25,-25,8,-25,25,12,25,-25,3,25,25,3
-17.5162,-24.9992,1.64727,13359,-25,-25,73,-25,25,6,25,-25,10,25,25,4
-0.255277,-0.0914373,4.62569,72,-25,-25,1,-25,25,2,-99.9,-99.9,-1,-99.9,-99.9,-1
16.6529,-12.5031,3.34661,11562,-25,-25,12,-25,25,3,25,-25,28,25,25,15
0.199351,22.8825,-6.26786,0,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
15.4808,20.4383,9.06165,65,-99.9,-99.9,-1,-99.9,-99.9,-1,25,-25,1,-99.9,-99.9,-1
-17.974,2.96685,-4.04601,15809,-25,-25,17,-25,25,33,25,-25,14,25,25,15
18.648,-19.7396,-9.16462,177457,-25,-25,125,-25,25,99,25,-25,2195,25,25,147
11.5467,10.6103,1.95232,27,-25,-25,1,-99.9,-99.9,-1,25,-25,1,-99.9,-99.9,-1
-18.0254,23.7923,9.59623,101,-99.9,-99.9,-1,-25,25,2,-99.9,-99.9,-1,-99.9,-99.9,-1
-13.2977,-20.8773,8.04155,829,-25,-25,4,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
4.7084,11.143,-0.956467,11866,-25,-25,8,-25,25,20,25,-25,12,25,25,9
-15.9023,20.7202,-0.236056,8602,-25,-25,4,-25,25,10,25,-25,7,25,25,35
6.72819,-2.318,-7.95764,54,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-23.9238,-22.1189,6.48235,43284,-25,-25,562,-25,25,30,25,-25,29,25,25,31
15.686,-13.334,7.62687,63,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-11.3515,16.6616,-6.87337,0,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-18.6424,-7.72226,8.98819,4511,-25,-25,13,-25,25,7,25,-25,2,25,25,1
1.98267,-23.7569,-6.01792,65,-99.9,-99.9,-1,-25,25,1,-99.9,-99.9,-1,-99.9,-99.9,-1
16.1626,10.147,-8.80465,127241,-25,-25,65,-25,25,111,25,-25,152,25,25,466
5.22121,18.4387,-8.67958,114,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-6.32359,-10.049,-6.02318,88,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-18.2359,5.98968,1.19479,112,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
9.49781,-4.25918,6.6418,81,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-16.6375,-7.93427,-3.6689,46646,-25,-25,114,-25,25,60,25,-25,52,25,25,38
-10.5947,16.3924,8.39498,92,-99.9,-99.9,-1,-25,25,1,-99.9,-99.9,-1,-99.9,-99.9,-1
-17.0362,17.3921,-0.191514,69,-25,-25,1,-25,25,1,-99.9,-99.9,-1,-99.9,-99.9,-1
2.38186,-23.3945,-2.18611,87,-99.9,-99.9,-1,-99.9,-99.9,-1,25,-25,1,25,25,1
24.6338,-17.3037,-0.373944,178389,-25,-25,150,-25,25,119,25,-25,1698,25,25,182
-13.0055,-12.5264,5.03263,84,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-13.7103,17.075,-2.40422,30,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
21.0359,15.835,-2.56521,103038,-25,-25,80,-25,25,84,25,-25,118,25,25,414
16.9839,-2.19429,-2.67424,91,-25,-25,1,-25,25,1,-99.9,-99.9,-1,-99.9,-99.9,-1
9.5396,4.90129,7.69218,131357,-25,-25,123,-25,25,168,25,-25,182,25,25,226
-16.8493,23.4658,9.41509,1662,-25,-25,2,-99.9,-99.9,-1,25,-25,1,-99.9,-99.9,-1
-3.42525,6.67725,8.6261,4361,-25,-25,6,-25,25,5,25,-25,3,25,25,3
7.61849,7.85844,1.25009,0,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
16.2788,-24.8892,0.330203,3778,-25,-25,4,-25,25,1,25,-25,5,25,25,2
5.39627,-13.5823,-4.43609,0,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
21.9232,20.678,7.87085,76117,-25,-25,43,-25,25,75,25,-25,66,25,25,451
-1.2664,21.78,5.62295,69,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-6.0789,-18.2405,-7.40067,98,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-22.9145,22.4042,-6.48781,100711,-25,-25,85,-25,25,1014,25,-25,50,25,25,94
-1.37508,-2.25195,-2.64454,177038,-25,-25,280,-25,25,239,25,-25,238,25,25,163
-21.0463,20.4818,3.88605,111,-99.9,-99.9,-1,-25,25,1,-99.9,-99.9,-1,25,25,1
