vx,vy,vz,sci_photons,xpos0,ypos0,photons0,xpos1,ypos1,photons1,xpos2,ypos2,photons2,xpos3,ypos3,photons3
-41.7472,29.3119,3.02418,228626,-25,-25,122,-25,25,267,25,-25,90,25,25,121
-8.03362,14.589,8.58548,6712,-25,-25,7,-25,25,5,25,-25,8,25,25,6
-23.5653,-11.2096,-5.84925,5612,-25,-25,5,-25,25,3,25,-25,3,25,25,4
-40.6921,-8.70627,13.5992,229708,-25,-25,157,-25,25,158,25,-25,93,25,25,108
38.3997,24.0361,0.233255,167,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
19.869,19.0858,4.48962,85234,-25,-25,49,-25,25,49,25,-25,40,25,25,137
-7.9987,8.97936,3.45841,6131,-25,-25,4,-25,25,5,25,-25,5,25,25,2
13.6912,41.2478,23.766,61,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-7.8106,13.6029,-7.20723,665718,-25,-25,405,-25,25,498,25,-25,416,25,25,418
-21.7503,26.1669,-14.7155,80037,-25,-25,41,-25,25,63,25,-25,36,25,25,29
-35.7435,-10.9578,-34.1388,62,-99.9,-99.9,-1,-25,25,1,-99.9,-99.9,-1,-99.9,-99.9,-1
43.3897,-41.5004,-30.8081,451894,-25,-25,241,-25,25,172,25,-25,1661,25,25,208
14.3594,23.4403,2.26936,203931,-25,-25,102,-25,25,122,25,-25,106,25,25,334
-4.69468,-18.6684,-24.0852,17902,-25,-25,23,-25,25,12,25,-25,12,25,25,11
23.6782,-11.1972,-7.61217,17,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
24.1588,-20.3623,0.192131,406818,-25,-25,246,-25,25,197,25,-25,458,25,25,219
25.9325,24.7569,19.3507,78,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
25.0946,5.45949,32.7906,20945,-25,-25,7,-25,25,9,25,-25,17,25,25,22
18.0769,-22.6028,-15.5583,287683,-25,-25,179,-25,25,163,25,-25,282,25,25,207
37.0467,14.6329,-33.4569,87,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
16.2837,2.33199,20.9641,81182,-25,-25,38,-25,25,47,25,-25,44,25,25,45
41.7818,29.9732,31.4864,9792,-25,-25,4,-25,25,3,25,-25,3,25,25,5
26.736,-11.379,-18.0464,107732,-25,-25,72,-25,25,62,25,-25,109,25,25,78
-31.0673,18.6395,-25.1682,102,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-25.4691,-12.4832,23.523,4773,-25,-25,1,-25,25,4,25,-25,2,25,25,3
-17.1101,-13.8634,20.7248,215,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-30.706,-2.94447,-24.5426,132,-99.9,-99.9,-1,-99.9,-99.9,-1,25,-25,1,-99.9,-99.9,-1
-2.8341,-38.9668,-4.95244,113,-99.9,-99.9,-1,-99.9,-99.9,-1,25,-25,1,-99.9,-99.9,-1
16.6895,39.478,0.589221,15603,-25,-25,11,-25,25,8,25,-25,6,25,25,10
7.94372,29.7029,-0.601551,151344,-25,-25,76,-25,25,113,25,-25,75,25,25,187
19.0041,39.6886,9.09506,343775,-25,-25,152,-25,25,197,25,-25,173,25,25,764
-22.3545,-15.7908,24.9368,36,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
40.2096,1.07824,-16.9185,70336,-25,-25,30,-25,25,31,25,-25,53,25,25,43
2.06626,-18.8114,-14.9758,9974,-25,-25,6,-25,25,7,25,-25,10,25,25,5
-25.2441,-17.3885,-14.8575,14053,-25,-25,9,-25,25,6,25,-25,9,25,25,9
43.1196,-42.6779,13.5539,6447,-25,-25,4,-25,25,2,25,-25,6,25,25,5
30.9099,22.2794,3.10697,339406,-25,-25,145,-25,25,197,25,-25,166,25,25,551
21.7241,-23.115,34.2099,104760,-25,-25,55,-25,25,47,25,-25,1576,25,25,47
36.4527,36.3754,-8.72659,446580,-25,-25,153,-25,25,212,25,-25,213,25,25,461
30.0908,-42.7469,-14.6877,12507,-25,-25,7,-25,25,5,25,-25,14,25,25,6
-24.7233,27.3135,-2.50852,105,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-31.6074,37.8598,5.16173,112,-99.9,-99.9,-1,-25,25,1,-99.9,-99.9,-1,-99.9,-99.9,-1
18.1273,-14.69,33.0931,93493,-25,-25,49,-25,25,52,25,-25,68,25,25,49
-20.4131,9.73708,7.31576,95,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
3.33189,29.4149,19.5874,41,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-24.8331,-30.5283,-34.704,280302,-25,-25,255,-25,25,143,25,-25,172,25,25,144
15.4067,-20.5603,-3.00333,101,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-17.2257,-9.44509,13.3743,0,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
44.8617,-11.7789,-23.1714,16808,-25,-25,6,-25,25,8,25,-25,22,25,25,8
-40.4879,15.2897,-1.3021,17922,-25,-25,16,-25,25,19,25,-25,10,25,25,11
-15.1478,43.8085,4.30318,159457,-25,-25,58,-25,25,182,25,-25,61,25,25,99
21.355,-25.1524,33.5386,175274,-25,-25,104,-25,25,80,25,-25,811,25,25,99
38.2191,-5.54743,28.8422,284327,-25,-25,131,-25,25,104,25,-25,197,25,25,167
35.8723,8.95733,32.1081,75488,-25,-25,30,-25,25,44,25,-25,43,25,25,52
12.4061,32.6291,4.46604,514171,-25,-25,235,-25,25,323,25,-25,210,25,25,383
29.8982,-7.55256,-26.4331,71,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,25,25,1
-15.8344,-42.5911,24.0634,74368,-25,-25,61,-25,25,33,25,-25,35,25,25,33
29.3726,20.1411,11.6565,2200,-25,-25,1,-25,25,1,25,-25,1,25,25,4
28.4904,-6.72186,6.50141,80,-99.9,-99.9,-1,-99.9,-99.9,-1,25,-25,1,-99.9,-99.9,-1
20.6894,-1.105,-2.9218,49,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-3.17801,-3.12505,-21.7339,0,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
29.5965,2.76567,-28.8346,624352,-25,-25,355,-25,25,308,25,-25,755,25,25,377
-12.097,25.9743,18.517,19850,-25,-25,4,-25,25,14,25,-25,12,25,25,8
-35.6874,-6.31556,-10.958,286771,-25,-25,255,-25,25,202,25,-25,152,25,25,122
2.33843,-28.2422,-7.11632,41972,-25,-25,38,-25,25,35,25,-25,49,25,25,20
27.6246,1.16932,-9.12275,1262,-25,-25,1,-25,25,1,25,-25,1,25,25,1
-30.2136,-41.2721,-8.04586,36076,-25,-25,40,-25,25,15,25,-25,18,25,25,17
16.0375,5.96942,22.7929,23076,-25,-25,12,-25,25,22,25,-25,12,25,25,21
13.0177,-17.9237,-21.7392,10949,-25,-25,10,-25,25,11,25,-25,11,25,25,6
-32.2308,15.3103,-22.8347,0,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
12.695,5.58184,13.07,111,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
19.4694,-32.5481,-18.7007,10021,-25,-25,7,-25,25,10,25,-25,4,25,25,7
-31.6957,-16.947,11.8305,280549,-25,-25,734,-25,25,150,25,-25,152,25,25,126
-20.215,9.00061,-2.20581,1474,-25,-25,1,-25,25,3,-99.9,-99.9,-1,-99.9,-99.9,-1
10.9127,-6.54633,-12.9941,229,-99.9,-99.9,-1,-25,25,1,-99.9,-99.9,-1,25,25,1
42.9455,-27.5566,32.7402,170,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-14.4747,30.1079,-5.32267,3179,-25,-25,2,-25,25,3,25,-25,2,25,25,1
-10.9972,-36.261,17.1976,15315,-25,-25,8,-25,25,12,25,-25,5,25,25,6
22.1435,-17.0344,-32.7751,9184,-25,-25,5,-25,25,2,25,-25,11,25,25,6
-3.70839,37.8083,-5.55565,32,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-34.1239,10.1052,34.0858,25476,-25,-25,14,-25,25,22,25,-25,7,25,25,13
40.8238,-44.8923,-21.312,7735,-25,-25,3,-25,25,2,25,-25,6,25,25,7
34.6973,20.3436,-18.5294,92,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
32.9308,15.202,-16.1945,74,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-0.777315,-43.023,33.8948,123,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-24.9678,38.047,3.27671,181168,-25,-25,79,-25,25,182,25,-25,66,25,25,99
4.17918,-32.0143,-4.64014,305988,-25,-25,173,-25,25,134,25,-25,1174,25,25,163
-21.3009,40.2076,16.6918,30435,-25,-25,7,-25,25,48,25,-25,11,25,25,21
1.50152,35.293,12.74,134045,-25,-25,61,-25,25,94,25,-25,65,25,25,88
-40.0075,-24.3714,26.4131,172,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
18.6719,-33.9398,19.2122,5805,-25,-25,4,-25,25,5,25,-25,11,25,25,2
30.2781,7.80464,-17.3278,35368,-25,-25,11,-25,25,13,25,-25,32,25,25,29
1.54082,16.0252,18.443,216653,-25,-25,141,-25,25,130,25,-25,145,25,25,177
-32.7634,9.3716,-33.4669,491566,-25,-25,373,-25,25,363,25,-25,205,25,25,195
22.1695,31.2441,20.6267,106148,-25,-25,41,-25,25,59,25,-25,67,25,25,232
35.5312,24.7088,31.5663,10049,-25,-25,5,-25,25,3,25,-25,3,25,25,12
-36.6272,-17.6605,-15.0767,284673,-25,-25,354,-25,25,173,25,-25,130,25,25,120
2.50567,-17.4174,-19.9032,21998,-25,-25,17,-25,25,12,25,-25,17,25,25,17
-26.6782,6.88853,-12.0631,97,-99.9,-99.9,-1,-25,25,1,-99.9,-99.9,-1,-99.9,-99.9,-1
-32.4672,-24.837,-33.3519,151,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-43.0077,-24.4884,-10.3664,127,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-0.786637,21.9796,-31.1765,2703,-25,-25,1,-25,25,3,25,-25,2,25,25,1
-38.9544,-14.6255,-18.7106,56,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
37.0431,18.9807,-12.1629,0,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-8.80811,-30.0165,-27.9831,462846,-25,-25,445,-25,25,361,25,-25,294,25,25,225
-15.0266,15.387,20.3721,0,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
0.299421,6.50286,-12.2426,14668,-25,-25,3,-25,25,14,25,-25,5,25,25,13
21.6236,-4.23789,8.27856,166,-25,-25,1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
28.7564,-27.4771,-6.71192,74494,-25,-25,44,-25,25,33,25,-25,92,25,25,56
-38.6058,-10.7722,-24.8303,15538,-25,-25,13,-25,25,13,25,-25,5,25,25,6
-40.6281,-39.4921,-18.0087,567830,-25,-25,543,-25,25,302,25,-25,247,25,25,207
-23.0003,-23.8024,24.7676,460726,-25,-25,1951,-25,25,213,25,-25,231,25,25,186
-8.87936,31.8715,-28.4669,650787,-25,-25,246,-25,25,478,25,-25,252,25,25,417
-17.7308,37.7777,30.2735,36560,-25,-25,19,-25,25,21,25,-25,18,25,25,26
13.4714,35.1051,12.4712,39,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-10.581,20.8691,8.35056,50,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-28.0859,1.42612,20.5388,0,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
22.163,1.68015,19.9872,9147,-25,-25,4,-25,25,8,25,-25,9,25,25,6
17.7928,-36.0742,9.94632,167543,-25,-25,87,-25,25,74,25,-25,211,25,25,87
0.913343,-7.65564,15.6813,159,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
2.47847,-7.57489,-33.0211,83,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
13.3239,34.4237,-22.0215,5994,-25,-25,2,-25,25,4,25,-25,1,25,25,7
18.2159,29.1991,-9.45454,127,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-3.71599,-4.75017,-5.18598,81596,-25,-25,76,-25,25,50,25,-25,50,25,25,48
-41.7023,23.9167,-1.06551,252150,-25,-25,150,-25,25,484,25,-25,109,25,25,118
-35.951,38.8452,30.0139,56078,-25,-25,24,-25,25,37,25,-25,37,25,25,36
-40.7516,3.621,30.4176,100,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
31.7757,-36.7091,8.9548,0,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-19.9476,2.14782,34.6901,7835,-25,-25,4,-25,25,2,25,-25,3,25,25,4
-3.2265,-25.8755,-23.4253,1581,-25,-25,1,-99.9,-99.9,-1,-99.9,-99.9,-1,25,25,3
21.4276,-24.6875,19.0702,303878,-25,-25,160,-25,25,147,25,-25,1068,25,25,163
30.1089,23.6669,-32.3383,0,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-40.8528,-8.55689,-27.7592,0,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
41.048,-6.88805,4.49905,5009,-25,-25,7,-25,25,2,25,-25,2,25,25,1
-5.56165,7.37206,23.3512,70,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-8.8984,19.8037,-0.167632,8513,-25,-25,2,-25,25,8,25,-25,4,25,25,2
-24.8702,-33.4165,-20.0701,95,-99.9,-99.9,-1,-99.9,-99.9,-1,25,-25,1,-99.9,-99.9,-1
