vx,vy,vz,sci_photons,xpos0,ypos0,photons0,xpos1,ypos1,photons1,xpos2,ypos2,photons2,xpos3,ypos3,photons3
-8.10637,-38.7342,1.18787,99,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
19.4487,36.3245,4.36081,189411,-25,-25,89,-25,25,157,25,-25,142,25,25,782
40.7351,38.8685,8.57266,35171,-25,-25,10,-25,25,23,25,-25,16,25,25,78
7.0125,31.6642,-5.82395,91505,-25,-25,47,-25,25,121,25,-25,54,25,25,230
9.22983,26.3882,9.302,92,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-19.6269,-5.72726,-3.79273,142037,-25,-25,271,-25,25,230,25,-25,131,25,25,103
40.3005,-15.2634,2.68829,269145,-25,-25,182,-25,25,128,25,-25,664,25,25,286
8.01146,33.7696,-1.13441,6729,-25,-25,3,-25,25,13,25,-25,3,25,25,11
11.0766,32.4174,0.647106,15633,-25,-25,11,-25,25,16,25,-25,7,25,25,37
37.518,-39.4125,1.78454,85812,-25,-25,44,-25,25,29,25,-25,179,25,25,57
23.025,-26.1862,7.21058,2200,-25,-25,1,-25,25,3,25,-25,33,25,25,1
9.43082,-33.4167,6.04313,166,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
5.93026,-29.956,-0.0753657,51380,-25,-25,79,-25,25,25,25,-25,126,25,25,31
38.9953,-41.5815,-8.67367,202466,-25,-25,127,-25,25,73,25,-25,437,25,25,122
-15.6164,35.1972,9.12293,15606,-25,-25,12,-25,25,43,25,-25,12,25,25,7
41.4436,44.7193,1.71318,45219,-25,-25,18,-25,25,26,25,-25,26,25,25,89
0.0587889,-3.72112,-7.09383,226,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
6.67866,24.281,-3.90809,11107,-25,-25,10,-25,25,17,25,-25,6,25,25,20
-43.1265,-18.9112,8.39727,40644,-25,-25,73,-25,25,52,25,-25,18,25,25,15
29.5099,-41.7803,3.75574,49,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-12.6951,11.8511,-5.66402,302,-99.9,-99.9,-1,-99.9,-99.9,-1,25,-25,1,-99.9,-99.9,-1
16.3514,-25.7016,-6.20461,41141,-25,-25,56,-25,25,21,25,-25,228,25,25,48
20.0963,-29.3445,5.48116,84,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-43.9555,36.3749,4.50779,120713,-25,-25,85,-25,25,299,25,-25,44,25,25,73
44.2823,-37.6293,-8.83533,45117,-25,-25,17,-25,25,15,25,-25,89,25,25,20
-36.4853,34.0013,-7.35435,184,-25,-25,1,-25,25,1,-99.9,-99.9,-1,-99.9,-99.9,-1
-32.7632,28.1336,-3.19215,13506,-25,-25,8,-25,25,69,25,-25,7,25,25,13
-9.05062,23.367,8.49574,84,-99.9,-99.9,-1,-25,25,1,-99.9,-99.9,-1,-99.9,-99.9,-1
-15.7977,-33.2347,-8.2405,109,-99.9,-99.9,-1,-25,25,1,-99.9,-99.9,-1,-99.9,-99.9,-1
19.7033,-29.6638,-1.06026,123,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-44.815,-34.7051,9.38548,633,-25,-25,1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
37.9337,39.8903,-8.75092,111868,-25,-25,36,-25,25,81,25,-25,63,25,25,274
-13.6985,37.0675,9.60265,2486,-25,-25,2,-25,25,4,-99.9,-99.9,-1,25,25,2
5.9603,-3.08224,-1.95779,74,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
29.437,-31.3772,1.901,87,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-10.5666,-1.51913,-0.109106,145445,-25,-25,182,-25,25,194,25,-25,164,25,25,181
-26.3155,-17.1582,8.23143,34083,-25,-25,111,-25,25,35,25,-25,30,25,25,15
-12.5696,-12.8749,-3.72221,145795,-25,-25,413,-25,25,179,25,-25,156,25,25,132
-26.5394,-26.5973,-1.86559,3868,-25,-25,29,-25,25,4,25,-25,2,25,25,3
39.3319,-38.7881,-2.06327,7660,-25,-25,4,-25,25,3,25,-25,19,25,25,9
41.3085,32.6381,-1.03013,2104,-25,-25,1,-99.9,-99.9,-1,25,-25,1,25,25,3
8.68072,-43.8786,2.58017,7878,-25,-25,5,-25,25,3,25,-25,19,25,25,1
33.6319,3.96483,-2.82664,14402,-25,-25,3,-25,25,7,25,-25,26,25,25,32
-39.3573,-39.0699,-3.35096,86580,-25,-25,202,-25,25,62,25,-25,48,25,25,43
-41.4741,-25.0397,6.82304,300674,-25,-25,724,-25,25,256,25,-25,144,25,25,111
-16.0856,-5.5638,-5.6352,114836,-25,-25,205,-25,25,193,25,-25,115,25,25,108
8.30655,-11.5891,-0.345536,56,-99.9,-99.9,-1,-99.9,-99.9,-1,25,-25,1,-99.9,-99.9,-1
12.0168,-32.7332,4.12055,73197,-25,-25,83,-25,25,48,25,-25,204,25,25,39
35.7216,-20.5607,4.76484,38380,-25,-25,27,-25,25,14,25,-25,124,25,25,38
-3.79415,-1.26178,-9.11773,7163,-25,-25,12,-25,25,6,25,-25,12,25,25,4
-34.6707,15.0566,-7.44105,131,-25,-25,1,-25,25,1,-99.9,-99.9,-1,-99.9,-99.9,-1
32.4183,8.56558,-8.646,93530,-25,-25,49,-25,25,58,25,-25,119,25,25,310
-0.71075,27.4642,-0.0804424,109968,-25,-25,66,-25,25,166,25,-25,125,25,25,197
13.6102,16.0347,7.47001,11450,-25,-25,11,-25,25,11,25,-25,23,25,25,28
-41.5335,32.4222,-7.27452,55704,-25,-25,37,-25,25,126,25,-25,19,25,25,28
-31.0615,-38.5722,5.71563,21922,-25,-25,54,-25,25,15,25,-25,20,25,25,10
-33.0602,2.19122,0.726086,141755,-25,-25,219,-25,25,282,25,-25,87,25,25,78
34.7306,-24.6481,7.30751,74,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
21.4443,-17.8074,-6.407,66,-99.9,-99.9,-1,-99.9,-99.9,-1,25,-25,1,-99.9,-99.9,-1
31.6384,-23.5566,-8.24394,79,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-26.5336,7.019,-0.0915943,4268,-25,-25,4,-25,25,10,25,-25,1,25,25,6
-6.4681,12.13,0.753646,5381,-25,-25,4,-25,25,11,25,-25,2,25,25,8
43.8626,-1.79156,8.73289,1514,-99.9,-99.9,-1,-99.9,-99.9,-1,25,-25,4,25,25,2
-15.4276,33.2163,-2.55882,67408,-25,-25,37,-25,25,268,25,-25,35,25,25,59
-2.62847,5.98151,-6.29451,99,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-30.8323,-18.7829,2.23093,0,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
15.7643,40.2103,-5.77991,382280,-25,-25,229,-25,25,539,25,-25,228,25,25,734
-14.3896,1.04492,-3.50206,41340,-25,-25,67,-25,25,83,25,-25,39,25,25,35
22.1019,-43.3151,2.33777,237426,-25,-25,175,-25,25,98,25,-25,552,25,25,112
-37.6205,33.2402,4.38616,48242,-25,-25,33,-25,25,124,25,-25,24,25,25,22
24.8898,-8.78193,6.65418,32125,-25,-25,22,-25,25,19,25,-25,87,25,25,43
40.8342,21.5015,-4.78934,276613,-25,-25,119,-25,25,182,25,-25,227,25,25,880
-9.28677,5.89665,-7.89964,198934,-25,-25,354,-25,25,398,25,-25,168,25,25,188
31.9615,-27.7004,0.286902,43,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-37.6704,27.19,-6.0726,115633,-25,-25,91,-25,25,429,25,-25,46,25,25,77
-2.27952,39.2039,9.16421,89,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-28.1666,8.04118,-9.32537,379,-25,-25,1,-25,25,1,25,-25,1,-99.9,-99.9,-1
1.07271,-9.54742,3.88004,308,-25,-25,3,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
40.5739,44.2375,-4.72086,94635,-25,-25,37,-25,25,60,25,-25,49,25,25,207
23.4179,37.8103,-3.90025,47227,-25,-25,19,-25,25,39,25,-25,21,25,25,176
-43.3187,-21.9755,7.85977,215,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,25,25,1
